	Epoch			Reward
Episode:	0	Avereged	reward:	24
Episode:	1	Avereged	reward:	22.5
Episode:	2	Avereged	reward:	22
Episode:	3	Avereged	reward:	21.5
Episode:	4	Avereged	reward:	22.4
Episode:	5	Avereged	reward:	21.33
Episode:	6	Avereged	reward:	20.71
Episode:	7	Avereged	reward:	20.38
Episode:	8	Avereged	reward:	20.33
Episode:	9	Avereged	reward:	20.4
Episode:	10	Avereged	reward:	20
Episode:	11	Avereged	reward:	20
Episode:	12	Avereged	reward:	19.77
Episode:	13	Avereged	reward:	20
Episode:	14	Avereged	reward:	20
Episode:	15	Avereged	reward:	20.38
Episode:	16	Avereged	reward:	20.18
Episode:	17	Avereged	reward:	20.44
Episode:	18	Avereged	reward:	20.79
Episode:	19	Avereged	reward:	20.95
Episode:	20	Avereged	reward:	20.86
Episode:	21	Avereged	reward:	21.05
Episode:	22	Avereged	reward:	20.83
Episode:	23	Avereged	reward:	20.79
Episode:	24	Avereged	reward:	20.8
Episode:	25	Avereged	reward:	20.81
Episode:	26	Avereged	reward:	20.89
Episode:	27	Avereged	reward:	20.75
Episode:	28	Avereged	reward:	20.86
Episode:	29	Avereged	reward:	20.83
Episode:	30	Avereged	reward:	20.63
Episode:	31	Avereged	reward:	20.6
Episode:	32	Avereged	reward:	20.8
Episode:	33	Avereged	reward:	20.5
Episode:	34	Avereged	reward:	20.57
Episode:	35	Avereged	reward:	20.7
Episode:	36	Avereged	reward:	20.9
Episode:	37	Avereged	reward:	20.97
Episode:	38	Avereged	reward:	21.17
Episode:	39	Avereged	reward:	20.8
Episode:	40	Avereged	reward:	20.87
Episode:	41	Avereged	reward:	20.87
Episode:	42	Avereged	reward:	20.93
Episode:	43	Avereged	reward:	21.1
Episode:	44	Avereged	reward:	21.1
Episode:	45	Avereged	reward:	20.67
Episode:	46	Avereged	reward:	21.03
Episode:	47	Avereged	reward:	20.77
Episode:	48	Avereged	reward:	20.4
Episode:	49	Avereged	reward:	20.4
Episode:	50	Avereged	reward:	20.7
Episode:	51	Avereged	reward:	20.7
Episode:	52	Avereged	reward:	20.6
Episode:	53	Avereged	reward:	20.4
Episode:	54	Avereged	reward:	20.63
Episode:	55	Avereged	reward:	20.6
Episode:	56	Avereged	reward:	20.17
Episode:	57	Avereged	reward:	20.37
Episode:	58	Avereged	reward:	20.23
Episode:	59	Avereged	reward:	20.07
Episode:	60	Avereged	reward:	20.13
Episode:	61	Avereged	reward:	19.97
Episode:	62	Avereged	reward:	20
Episode:	63	Avereged	reward:	20.27
Episode:	64	Avereged	reward:	19.97
Episode:	65	Avereged	reward:	19.8
Episode:	66	Avereged	reward:	19.73
Episode:	67	Avereged	reward:	19.43
Episode:	68	Avereged	reward:	19.1
Episode:	69	Avereged	reward:	19.37
Episode:	70	Avereged	reward:	19.63
Episode:	71	Avereged	reward:	19.5
Episode:	72	Avereged	reward:	19.47
Episode:	73	Avereged	reward:	19.07
